"Date","Time","DateTime","LWP","Plant_ID"
"29/10/2024","20:00:00",2024-10-29 20:00:00,-0.65,1
"29/10/2024","20:15:00",2024-10-29 20:15:00,-0.61,1
"29/10/2024","20:30:00",2024-10-29 20:30:00,-0.67,1
"29/10/2024","20:45:00",2024-10-29 20:45:00,-0.64,1
"29/10/2024","21:00:00",2024-10-29 21:00:00,-0.59,1
"29/10/2024","21:15:00",2024-10-29 21:15:00,-0.61,1
"29/10/2024","21:30:00",2024-10-29 21:30:00,-0.62,1
"29/10/2024","21:45:00",2024-10-29 21:45:00,-0.63,1
"29/10/2024","22:00:00",2024-10-29 22:00:00,-0.63,1
"29/10/2024","22:15:00",2024-10-29 22:15:00,-0.59,1
"29/10/2024","22:30:00",2024-10-29 22:30:00,-0.6,1
"29/10/2024","22:45:00",2024-10-29 22:45:00,-0.59,1
"29/10/2024","23:00:00",2024-10-29 23:00:00,-0.61,1
"29/10/2024","23:15:00",2024-10-29 23:15:00,-0.57,1
"29/10/2024","23:30:00",2024-10-29 23:30:00,-0.57,1
"29/10/2024","23:45:00",2024-10-29 23:45:00,-0.56,1
"30/10/2024","00:00:00",2024-10-30,-0.38,1
"30/10/2024","00:15:00",2024-10-30 00:15:00,-0.2,1
"30/10/2024","00:30:00",2024-10-30 00:30:00,-0.16,1
"30/10/2024","00:45:00",2024-10-30 00:45:00,-0.13,1
"30/10/2024","01:00:00",2024-10-30 01:00:00,-0.1,1
"30/10/2024","01:15:00",2024-10-30 01:15:00,-0.09,1
"30/10/2024","01:30:00",2024-10-30 01:30:00,-0.09,1
"30/10/2024","01:45:00",2024-10-30 01:45:00,-0.05,1
"30/10/2024","02:00:00",2024-10-30 02:00:00,-0.06,1
"30/10/2024","02:15:00",2024-10-30 02:15:00,-0.07,1
"30/10/2024","02:30:00",2024-10-30 02:30:00,-0.04,1
"30/10/2024","02:45:00",2024-10-30 02:45:00,-0.05,1
"30/10/2024","03:00:00",2024-10-30 03:00:00,-0.03,1
"30/10/2024","03:15:00",2024-10-30 03:15:00,0,1
"30/10/2024","03:30:00",2024-10-30 03:30:00,-0.01,1
"30/10/2024","03:45:00",2024-10-30 03:45:00,0,1
"30/10/2024","04:00:00",2024-10-30 04:00:00,0,1
"30/10/2024","04:15:00",2024-10-30 04:15:00,-0.01,1
"30/10/2024","04:30:00",2024-10-30 04:30:00,0,1
