"Date","Time","Weight","DateTime","Plant_ID"
2024-10-31,"03:47:58",1157.9,2024-10-31 03:47:58,4
2024-10-31,"04:02:58",1157.9,2024-10-31 04:02:58,4
2024-10-31,"04:17:58",1157.9,2024-10-31 04:17:58,4
2024-10-31,"04:32:58",1156.9,2024-10-31 04:32:58,4
2024-10-31,"04:47:58",1156.9,2024-10-31 04:47:58,4
2024-10-31,"05:02:58",1156.9,2024-10-31 05:02:58,4
2024-10-31,"05:17:58",1156.9,2024-10-31 05:17:58,4
2024-10-31,"05:32:58",1156.9,2024-10-31 05:32:58,4
2024-10-31,"05:47:58",1156.9,2024-10-31 05:47:58,4
2024-10-31,"06:02:58",1155.9,2024-10-31 06:02:58,4
2024-10-31,"06:17:58",1155.9,2024-10-31 06:17:58,4
2024-10-31,"06:32:58",1155.9,2024-10-31 06:32:58,4
2024-10-31,"06:47:58",1155.9,2024-10-31 06:47:58,4
2024-10-31,"07:02:58",1153.9,2024-10-31 07:02:58,4
2024-10-31,"07:17:58",1152.9,2024-10-31 07:17:58,4
2024-10-31,"07:32:58",1151.9,2024-10-31 07:32:58,4
2024-10-31,"07:47:58",1149.9,2024-10-31 07:47:58,4
2024-10-31,"08:02:58",1148.9,2024-10-31 08:02:58,4
2024-10-31,"08:17:58",1147.8,2024-10-31 08:17:58,4
2024-10-31,"08:32:58",1146.8,2024-10-31 08:32:58,4
2024-10-31,"08:47:58",1144.8,2024-10-31 08:47:58,4
2024-10-31,"09:02:58",1143.8,2024-10-31 09:02:58,4
2024-10-31,"09:17:58",1141.8,2024-10-31 09:17:58,4
2024-10-31,"09:32:58",1139.8,2024-10-31 09:32:58,4
2024-10-31,"09:47:58",1138.8,2024-10-31 09:47:58,4
2024-10-31,"10:02:58",1136.7,2024-10-31 10:02:58,4
2024-10-31,"10:17:58",1201.7,2024-10-31 10:17:58,4
2024-10-31,"10:32:58",1199.7,2024-10-31 10:32:58,4
2024-10-31,"10:47:58",1198.7,2024-10-31 10:47:58,4
2024-10-31,"11:02:58",1196.7,2024-10-31 11:02:58,4
2024-10-31,"11:17:58",1194.7,2024-10-31 11:17:58,4
2024-10-31,"11:32:58",1192.7,2024-10-31 11:32:58,4
2024-10-31,"11:47:58",1189.6,2024-10-31 11:47:58,4
