"Plant_ID","DateTime","Measure","Value","PSY","Teros","Treatment","Scale","Plant_name"
3,2024-10-28 10:30:00,"LWP",-0.63,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 13:00:00,"LWP",-0.93,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 13:45:00,"LWP",-0.96,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 14:00:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 14:15:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 14:30:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 14:45:00,"LWP",-0.95,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 15:00:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 15:15:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 15:45:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 17:00:00,"LWP",-0.95,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 17:45:00,"LWP",-0.91,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 18:00:00,"LWP",-0.83,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 18:15:00,"LWP",-0.8,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 18:45:00,"LWP",-0.83,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 19:00:00,"LWP",-0.86,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 19:15:00,"LWP",-0.87,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 19:30:00,"LWP",-1.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 19:45:00,"LWP",-0.93,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 20:00:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 20:15:00,"LWP",-1.09,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 20:30:00,"LWP",-0.95,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 20:45:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 21:00:00,"LWP",-0.86,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 21:15:00,"LWP",-1.04,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 21:30:00,"LWP",-0.99,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-28 22:15:00,"LWP",-0.95,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
